do,du,did,dId,u->Id
say,s1,said,sEd,1->Ed
go,g5,went,wEnt,g5->wEnt
get,gEt,got,gQt,E->Q
know,n5,knew,nju,5->ju
see,si,saw,s$,i->$
think,TINk,thought,T$t,IkN->$t
come,kVm,came,k1m,V->1
take,t1k,took,tUk,1->U
look,lUk,looked,lUkt,NULL->t
give,gIv,gave,g1v,I->1
want,wQnt,wanted,wQn-tId,NULL->Id
find,f2nd,found,f6nd,2->6
tell,tEl,told,t5ld,E->5d
seem,sim,seemed,simd,NULL->d
feel,fil,felt,fElt,iX->EXt
become,bIkVm,became,bI-k1m,V->1
ask,{sk,asked,{skt,NULL->t
put,pUt,put,pUt,NULL
use,juz,used,juzd,NULL->d
leave,liv,left,lEft,iv->Eft
try,tr2,tried,tr2d,NULL->d
mean,min,meant,mEnt,iX->EXt
call,k$l,called,k$ld,NULL->d
begin,bIgIn,began,bI-g{n,I->{
keep,kip,kept,kEpt,iX->EXt
turn,t3n,turned,t3nd,NULL->d
need,nid,needed,ni-dId,NULL->Id
work,w3k,worked,w3kt,NULL->t
live,lIv,lived,lIvd,NULL->d
bring,brIN,brought,br$t,IN->$t
talk,t$k,talked,t$kt,NULL->t
hear,hir,heard,h3d,ir->3d
sit,sIt,sat,s{t,I->{
show,S5,showed,S5d,NULL->d
stand,st{nd,stood,stUd,{n->U
hold,h5ld,held,hEld,5->E
write,r2t,wrote,r5t,NULL->t
change,J1n_,changed,J1n_d,NULL->d
start,stQrt,started,stQr-tId,NULL->Id
run,rVn,ran,r{n,V->{
happen,h{p@n,happened,h{-p@nd,NULL->d
let,lEt,let,lEt,NULL
move,muv,moved,muvd,NULL->d
believe,bIliv,believed,bI-livd,NULL->d
play,pl1,played,pl1d,NULL->d
help,hElp,helped,hElpt,NULL->t
read,rEd,read,rEd,NULL
speak,spik,spoke,sp5k,i->5
remember,rImEmb3,remembered,rI-mEm-b3d,NULL->d
pay,p1,paid,p1d,NULL->d
grow,gr5,grew,gru,5->u
lose,luz,lost,lQst,zu->Qst
stop,stQp,stopped,stQpt,NULL->t
like,l2k,liked,l2kt,NULL->t
wait,w1t,waited,w1-tId,NULL->Id
set,sEt,set,sEt,NULL
carry,k{rI,carried,k{-rId,NULL->Id
walk,w$k,walked,w$kt,NULL->t
learn,l3n,learned,l3nd,NULL->d
learn,l3n,learnt,l3nt,NULL->t
lie,l2,lay,l1,2->1
follow,fQl5,followed,fQ-l5d,NULL->d
lead,lid,led,lEd,i->E
fall,f$l,fell,fEl,$->E
appear,@pir,appeared,@-pird,NULL->d
understand,Vnd@st{nd,understood,Vn-d@-stud,{n->u
eat,it,ate,Et,i->E
expect,IkspEkt,expected,Ik-spEk-tId,NULL->Id
spend,spEnd,spent,spEnt,d->t
send,sEnd,sent,sEnt,d->t
allow,@l6,allowed,@-l6d,NULL->d
continue,k@ntInju,continued,k@n-tI-njud,NULL->d
remain,rIm1n,remained,rI-m1nd,NULL->d
pass,p{s,passed,p{st,NULL->t
provide,pr@v2d,provided,pr@-v2-dId,NULL->Id
buy,b2,bought,b$t,2->$t
reach,riJ,reached,riJt,NULL->t
develop,dIvEl@p,developed,dI-vE-l@pt,NULL->t
stay,st1,stayed,st1d,NULL->d
watch,wQJ,watched,wQJt,NULL->t
decide,dIs2d,decided,dI-s2-dId,NULL->Id
produce,pr@djus,produced,pr@-djust,NULL->t
