Wug:		Response:		Prediction:
bize:		correct prediction!			
dize:		correct prediction!			
drice:		NULL->t			NULL->d
flidge:		correct prediction!			
fro:		correct prediction!			
gare:		correct prediction!			
glip:		correct prediction!			
rife:		NULL->t			NULL->d
stin:		correct prediction!			
stip:		correct prediction!			
blig:		correct prediction!			
chake:		correct prediction!			
drit:		NULL			NULL->Id
fleep:		iX->EXt			NULL->t
gleed:		i->E			NULL->Id
glit:		NULL			NULL->Id
queed:		i->E			NULL->Id
plim:		correct prediction!			
skride:		2->5			NULL->d
spling:		correct prediction!			
teep:		correct prediction!			
gude:		NULL			NULL->d
nung:		correct prediction!			
pank:		correct prediction!			
preak:		correct prediction!			
rask:		correct prediction!			
shilk:		correct prediction!			
tark:		correct prediction!			
tunk:		correct prediction!			
trisk:		correct prediction!			
blafe:		NULL->t			NULL->d
bredge:		correct prediction!			
chool:		correct prediction!			
dape:		correct prediction!			
ghez:		correct prediction!			
nace:		correct prediction!			
spack:		correct prediction!			
stire:		correct prediction!			
tesh:		NULL->t			NULL->d
whiss:		correct prediction!			
nold:		NULL			NULL->Id
